Opened PDF: d:\coreminds\parsing\pdf-parser-python\uploads\c1f6f5ec-a39d-4a08-a68b-94274cba938c_PL-300-khhiih.pdf
Pages: 528

--- Page 4 ---
  get_images(full=True) count: 1051
    Image 240: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 241: xref=1472, w=376, h=192, ext=png, size=3441 bytes
    Image 242: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 243: xref=1459, w=1273, h=784, ext=jpeg, size=106010 bytes
    Image 244: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 245: xref=1461, w=1428, h=1024, ext=jpeg, size=193987 bytes
    Image 246: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 247: xref=1122, w=1020, h=192, ext=jpeg, size=16067 bytes
    Image 248: xref=1123, w=683, h=253, ext=jpeg, size=17063 bytes
    Image 249: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 250: xref=1476, w=433, h=172, ext=png, size=4181 bytes
    Image 251: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 252: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 253: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 254: xref=1480, w=502, h=293, ext=jpeg, size=13549 bytes
    Image 255: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 256: xref=1482, w=868, h=485, ext=jpeg, size=35770 bytes
    Image 257: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 258: xref=1484, w=309, h=348, ext=jpeg, size=9471 bytes
    Image 259: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 260: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 261: xref=1487, w=783, h=510, ext=jpeg, size=28924 bytes
    Image 262: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 263: xref=1489, w=624, h=406, ext=jpeg, size=18756 bytes
    Image 264: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 265: xref=1491, w=611, h=268, ext=png, size=13634 bytes
    Image 266: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 267: xref=1125, w=765, h=444, ext=jpeg, size=21485 bytes
    Image 268: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 269: xref=1493, w=691, h=419, ext=jpeg, size=21538 bytes
    Image 270: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 271: xref=1495, w=604, h=270, ext=jpeg, size=13096 bytes
    Image 272: xref=1496, w=604, h=270, ext=jpeg, size=14695 bytes
    Image 273: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 274: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 275: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 276: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 277: xref=1501, w=525, h=249, ext=png, size=9661 bytes
    Image 278: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 279: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 280: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 281: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 282: xref=1506, w=509, h=491, ext=jpeg, size=32874 bytes
    Image 283: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 284: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 285: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
